trip_id,expected_passenger_demand,min_units_required
T039,202,1
T018,340,1
T047,340,1
T016,174,1
T060,370,1
T051,323,1
T027,331,1
T032,289,1
T010,215,1
T025,286,1
T049,230,1
T050,805,2
T014,546,1
T048,739,2
T052,561,1
T012,691,2
T021,553,1
T045,808,2
T057,618,1
T040,451,1
T026,804,2
T024,610,1
T007,530,1
T058,636,1
T004,917,2
T006,491,1
T003,529,1
T019,181,1
T043,324,1
T020,179,1
T038,294,1
T015,285,1
T001,188,1
T056,197,1
T034,175,1
T013,197,1
T059,229,1
T041,253,1
T002,217,1
T053,178,1
T037,208,1
T023,143,1
T035,360,1
T036,498,1
T042,627,1
T028,536,1
T029,659,1
T030,378,1
T054,405,1
T011,338,1
T046,281,1
T055,253,1
T022,152,1
T017,161,1
T005,382,1
T009,326,1
T031,261,1
T008,375,1
T033,328,1
T044,300,1
