from_station,to_station,distance_km,travel_time_min
S1,S2,53.5,64
S1,S3,63.6,57
S1,S4,38.6,40
S1,S5,57.6,47
S1,S6,72.3,63
S1,S7,63.7,73
S1,S8,95.2,112
S2,S1,53.5,69
S2,S3,29.2,28
S2,S4,70.3,69
S2,S5,88.2,91
S2,S6,54.4,49
S2,S7,69.1,60
S2,S8,60.1,62
S3,S1,63.6,58
S3,S2,29.2,33
S3,S4,62.8,64
S3,S5,76.4,93
S3,S6,26.5,30
S3,S7,48.2,46
S3,S8,33.4,41
S4,S1,38.6,46
S4,S2,70.3,70
S4,S3,62.8,59
S4,S5,19.8,23
S4,S6,55.8,49
S4,S7,33.9,31
S4,S8,84.9,68
S5,S1,57.6,69
S5,S2,88.2,100
S5,S3,76.4,88
S5,S4,19.8,24
S5,S6,63.0,65
S5,S7,35.5,38
S5,S8,92.8,81
S6,S1,72.3,62
S6,S2,54.4,62
S6,S3,26.5,27
S6,S4,55.8,60
S6,S5,63.0,74
S6,S7,28.6,32
S6,S8,29.8,32
S7,S1,63.7,69
S7,S2,69.1,66
S7,S3,48.2,39
S7,S4,33.9,35
S7,S5,35.5,32
S7,S6,28.6,29
S7,S8,57.9,71
S8,S1,95.2,87
S8,S2,60.1,50
S8,S3,33.4,31
S8,S4,84.9,80
S8,S5,92.8,105
S8,S6,29.8,32
S8,S7,57.9,69
