unit_id,unit_type,capacity,max_couple,home_depot,current_location,km_since_maintenance,available_from_min
U001,EMU8,680,1,S8,S8,6230,0
U002,EMU4,320,2,S6,S6,6312,0
U003,EMU8,680,1,S6,S6,2177,0
U004,EMU4,320,2,S8,S8,3576,120
U005,EMU4,320,2,S8,S8,3646,60
U006,EMU4,320,2,S8,S8,5772,0
U007,EMU8,680,1,S6,S6,4633,0
U008,EMU4,320,2,S8,S8,3705,120
U009,EMU4,320,2,S8,S8,6068,0
U010,EMU4,320,2,S6,S6,5306,0
U011,EMU4,320,2,S8,S8,5018,0
U012,EMU8,680,1,S1,S1,757,60
U013,EMU4,320,2,S1,S1,675,60
U014,EMU4,320,2,S1,S1,6295,0
U015,EMU4,320,2,S8,S8,3951,0
U016,EMU4,320,2,S8,S8,5284,0
U017,EMU4,320,2,S6,S6,827,0
U018,EMU4,320,2,S1,S1,6347,0
U019,EMU4,320,2,S8,S8,7400,120
U020,EMU8,680,1,S1,S1,3576,0
U021,EMU8,680,1,S1,S1,4727,0
U022,EMU8,680,1,S8,S8,1211,120
U023,EMU4,320,2,S1,S1,3858,0
U024,EMU8,680,1,S6,S6,519,0
