trip_id,expected_passenger_demand,min_units_required
T098,320,1
T081,239,1
T094,232,1
T015,215,1
T032,142,1
T069,243,1
T091,305,1
T014,384,1
T088,190,1
T045,223,1
T038,256,1
T083,374,1
T005,248,1
T003,203,1
T108,720,2
T093,487,1
T111,631,1
T008,649,1
T084,693,2
T006,858,2
T035,667,1
T041,748,2
T105,487,1
T054,613,1
T107,489,1
T055,718,2
T114,375,1
T058,385,1
T097,650,1
T046,723,2
T053,618,1
T047,770,2
T067,596,1
T029,496,1
T057,495,1
T104,592,1
T034,370,1
T052,329,1
T027,451,1
T016,371,1
T031,315,1
T090,309,1
T100,238,1
T050,314,1
T062,173,1
T001,423,1
T020,370,1
T096,229,1
T064,304,1
T021,160,1
T092,313,1
T023,277,1
T086,222,1
T039,166,1
T036,349,1
T066,282,1
T010,407,1
T030,229,1
T044,309,1
T009,196,1
T089,330,1
T079,254,1
T019,153,1
T085,201,1
T025,229,1
T102,218,1
T013,192,1
T116,173,1
T040,491,1
T118,278,1
T110,364,1
T017,385,1
T061,360,1
T075,618,1
T073,360,1
T033,695,2
T117,854,2
T106,613,1
T095,690,2
T002,786,2
T004,811,2
T048,631,1
T063,594,1
T056,739,2
T087,464,1
T037,566,1
T113,591,1
T068,819,2
T076,835,2
T059,427,1
T060,540,1
T051,424,1
T028,797,2
T012,412,1
T026,576,1
T103,261,1
T065,510,1
T082,348,1
T074,559,1
T109,251,1
T011,482,1
T018,270,1
T101,348,1
T099,367,1
T120,134,1
T119,165,1
T115,225,1
T024,248,1
T022,341,1
T007,266,1
T070,169,1
T080,253,1
T043,323,1
T112,265,1
T078,218,1
T071,249,1
T049,236,1
T042,220,1
T077,109,1
T072,267,1
