from_station,to_station,distance_km,travel_time_min
S1,S2,15.0,14
S1,S3,63.5,70
S1,S4,48.4,47
S1,S5,20.6,24
S1,S6,47.9,61
S1,S7,65.6,63
S1,S8,46.8,43
S1,S9,49.5,57
S1,S10,29.0,32
S1,S11,18.6,22
S1,S12,24.7,27
S2,S1,15.0,14
S2,S3,66.7,84
S2,S4,50.5,55
S2,S5,35.2,41
S2,S6,36.1,41
S2,S7,52.5,62
S2,S8,39.2,46
S2,S9,43.8,44
S2,S10,14.3,12
S2,S11,32.3,34
S2,S12,33.5,42
S3,S1,63.5,55
S3,S2,66.7,79
S3,S4,16.4,18
S3,S5,70.9,82
S3,S6,59.9,54
S3,S7,73.7,62
S3,S8,44.5,42
S3,S9,37.5,42
S3,S10,76.0,76
S3,S11,74.0,69
S3,S12,86.2,86
S4,S1,48.4,56
S4,S2,50.5,47
S4,S3,16.4,18
S4,S5,58.3,58
S4,S6,45.8,59
S4,S7,61.4,75
S4,S8,31.0,36
S4,S9,25.1,27
S4,S10,59.6,60
S4,S11,60.7,69
S4,S12,71.9,88
S5,S1,20.6,18
S5,S2,35.2,29
S5,S3,70.9,73
S5,S4,58.3,55
S5,S6,68.0,84
S5,S7,86.0,80
S5,S8,65.0,82
S5,S9,66.3,70
S5,S10,48.2,59
S5,S11,5.5,6
S5,S12,19.3,22
S6,S1,47.9,62
S6,S2,36.1,32
S6,S3,59.9,56
S6,S4,45.8,48
S6,S5,68.0,67
S6,S7,18.8,23
S6,S8,15.5,20
S6,S9,22.8,25
S6,S10,32.2,28
S6,S11,66.5,66
S6,S12,69.6,66
S7,S1,65.6,74
S7,S2,52.5,49
S7,S3,73.7,62
S7,S4,61.4,65
S7,S5,86.0,81
S7,S6,18.8,20
S7,S8,30.6,30
S7,S9,36.5,43
S7,S10,44.9,42
S7,S11,84.1,98
S7,S12,85.7,73
S8,S1,46.8,56
S8,S2,39.2,51
S8,S3,44.5,42
S8,S4,31.0,40
S8,S5,65.0,72
S8,S6,15.5,17
S8,S7,30.6,28
S8,S9,7.4,8
S8,S10,40.7,42
S8,S11,64.7,71
S8,S12,70.9,74
S9,S1,49.5,59
S9,S2,43.8,47
S9,S3,37.5,36
S9,S4,25.1,24
S9,S5,66.3,72
S9,S6,22.8,29
S9,S7,36.5,31
S9,S8,7.4,6
S9,S10,47.0,48
S9,S11,66.6,59
S9,S12,74.0,93
S10,S1,29.0,31
S10,S2,14.3,17
S10,S3,76.0,92
S10,S4,59.6,48
S10,S5,48.2,60
S10,S6,32.2,33
S10,S7,44.9,41
S10,S8,40.7,50
S10,S9,47.0,57
S10,S11,44.6,55
S10,S12,42.4,53
S11,S1,18.6,24
S11,S2,32.3,30
S11,S3,74.0,68
S11,S4,60.7,50
S11,S5,5.5,6
S11,S6,66.5,66
S11,S7,84.1,95
S11,S8,64.7,78
S11,S9,66.6,62
S11,S10,44.6,58
S11,S12,14.1,15
S12,S1,24.7,31
S12,S2,33.5,35
S12,S3,86.2,108
S12,S4,71.9,75
S12,S5,19.3,23
S12,S6,69.6,69
S12,S7,85.7,69
S12,S8,70.9,82
S12,S9,74.0,63
S12,S10,42.4,54
S12,S11,14.1,15
