unit_id,unit_type,capacity,max_couple,home_depot,current_location,km_since_maintenance,available_from_min
U001,EMU4,320,2,S9,S9,6119,0
U002,EMU8,680,1,S11,S11,7288,0
U003,EMU8,680,1,S7,S7,5741,0
U004,EMU4,320,2,S11,S11,787,0
U005,EMU8,680,1,S7,S7,2488,60
U006,EMU4,320,2,S7,S7,2416,0
U007,EMU4,320,2,S11,S11,2261,120
U008,EMU4,320,2,S6,S6,274,60
U009,EMU8,680,1,S9,S9,7727,60
U010,EMU4,320,2,S6,S6,1450,120
U011,EMU4,320,2,S7,S7,1336,0
U012,EMU4,320,2,S7,S7,4811,0
U013,EMU4,320,2,S6,S6,3215,120
U014,EMU4,320,2,S11,S11,399,60
U015,EMU8,680,1,S7,S7,244,0
U016,EMU8,680,1,S6,S6,6662,120
U017,EMU4,320,2,S6,S6,2763,60
U018,EMU8,680,1,S6,S6,7378,60
U019,EMU4,320,2,S7,S7,4917,0
U020,EMU8,680,1,S6,S6,4601,0
U021,EMU4,320,2,S9,S9,3144,0
U022,EMU4,320,2,S7,S7,6174,60
U023,EMU4,320,2,S6,S6,7341,60
U024,EMU4,320,2,S7,S7,6589,0
U025,EMU8,680,1,S11,S11,7951,0
U026,EMU8,680,1,S7,S7,6608,120
U027,EMU8,680,1,S6,S6,7667,0
U028,EMU4,320,2,S6,S6,5412,0
U029,EMU8,680,1,S9,S9,6203,0
U030,EMU4,320,2,S6,S6,7383,60
U031,EMU8,680,1,S6,S6,3904,0
U032,EMU8,680,1,S11,S11,6800,120
U033,EMU8,680,1,S9,S9,4493,60
U034,EMU4,320,2,S11,S11,7990,0
U035,EMU4,320,2,S7,S7,5409,120
U036,EMU4,320,2,S7,S7,5055,0
U037,EMU4,320,2,S9,S9,4200,60
U038,EMU8,680,1,S9,S9,196,120
U039,EMU4,320,2,S6,S6,2641,0
U040,EMU8,680,1,S11,S11,414,120
U041,EMU4,320,2,S6,S6,6643,0
U042,EMU8,680,1,S7,S7,532,60
U043,EMU8,680,1,S6,S6,6227,0
U044,EMU4,320,2,S9,S9,2202,120
U045,EMU4,320,2,S11,S11,7490,120
U046,EMU4,320,2,S9,S9,3812,0
U047,EMU4,320,2,S11,S11,7411,60
U048,EMU4,320,2,S7,S7,7032,60
