trip_id,origin_station,destination_station,departure_min,arrival_min,departure_time,arrival_time,distance_km,min_turnaround_min
T098,S9,S3,257,293,04:17,04:53,37.5,30
T081,S11,S9,270,332,04:30,05:32,66.6,20
T094,S8,S2,270,321,04:30,05:21,39.2,20
T015,S2,S5,285,326,04:45,05:26,35.2,30
T032,S6,S1,302,364,05:02,06:04,47.9,15
T069,S6,S12,340,406,05:40,06:46,69.6,20
T091,S3,S5,352,434,05:52,07:14,70.9,30
T014,S4,S7,353,428,05:53,07:08,61.4,10
T088,S4,S7,354,429,05:54,07:09,61.4,20
T045,S2,S10,360,372,06:00,06:12,14.3,20
T038,S4,S9,377,404,06:17,06:44,25.1,15
T083,S6,S8,397,417,06:37,06:57,15.5,20
T005,S5,S9,408,478,06:48,07:58,66.3,10
T003,S8,S10,412,454,06:52,07:34,40.7,15
T108,S5,S3,421,494,07:01,08:14,70.9,30
T093,S9,S6,422,451,07:02,07:31,22.8,20
T111,S4,S8,423,459,07:03,07:39,31.0,20
T008,S12,S10,429,483,07:09,08:03,42.4,10
T084,S11,S6,437,503,07:17,08:23,66.5,30
T006,S3,S8,438,480,07:18,08:00,44.5,30
T035,S2,S5,448,489,07:28,08:09,35.2,30
T041,S6,S12,450,516,07:30,08:36,69.6,10
T105,S1,S7,464,527,07:44,08:47,65.6,20
T054,S1,S9,465,522,07:45,08:42,49.5,30
T107,S5,S12,466,488,07:46,08:08,19.3,10
T055,S10,S12,475,528,07:55,08:48,42.4,15
T114,S3,S2,481,560,08:01,09:20,66.7,20
T058,S8,S1,491,547,08:11,09:07,46.8,20
T097,S12,S10,512,566,08:32,09:26,42.4,30
T046,S12,S6,553,622,09:13,10:22,69.6,20
T053,S8,S5,580,652,09:40,10:52,65.0,30
T047,S7,S10,585,627,09:45,10:27,44.9,20
T067,S1,S9,604,661,10:04,11:01,49.5,30
T029,S11,S10,607,665,10:07,11:05,44.6,20
T057,S2,S1,609,623,10:09,10:23,15.0,15
T104,S10,S4,632,680,10:32,11:20,59.6,15
T034,S10,S4,634,682,10:34,11:22,59.6,15
T052,S4,S5,645,703,10:45,11:43,58.3,30
T027,S12,S9,657,720,10:57,12:00,74.0,10
T016,S2,S11,658,692,10:58,11:32,32.3,10
T031,S1,S6,664,725,11:04,12:05,47.9,10
T090,S2,S7,669,731,11:09,12:11,52.5,30
T100,S4,S9,675,702,11:15,11:42,25.1,30
T050,S6,S9,700,725,11:40,12:05,22.8,30
T062,S12,S6,704,773,11:44,12:53,69.6,15
T001,S4,S11,705,774,11:45,12:54,60.7,10
T020,S7,S8,716,746,11:56,12:26,30.6,10
T096,S5,S3,724,797,12:04,13:17,70.9,15
T064,S1,S4,754,801,12:34,13:21,48.4,20
T021,S6,S8,770,790,12:50,13:10,15.5,30
T092,S3,S2,779,858,12:59,14:18,66.7,20
T023,S12,S1,781,812,13:01,13:32,24.7,15
T086,S12,S4,781,856,13:01,14:16,71.9,10
T039,S9,S10,792,840,13:12,14:00,47.0,15
T036,S2,S8,801,847,13:21,14:07,39.2,20
T066,S11,S3,804,872,13:24,14:32,74.0,15
T010,S2,S1,829,843,13:49,14:03,15.0,15
T030,S8,S1,852,908,14:12,15:08,46.8,30
T044,S7,S4,862,927,14:22,15:27,61.4,20
T009,S1,S8,863,906,14:23,15:06,46.8,20
T089,S4,S3,891,909,14:51,15:09,16.4,20
T079,S7,S3,903,965,15:03,16:05,73.7,15
T019,S6,S2,904,936,15:04,15:36,36.1,15
T085,S8,S1,927,983,15:27,16:23,46.8,10
T025,S1,S6,937,998,15:37,16:38,47.9,20
T102,S7,S9,939,982,15:39,16:22,36.5,20
T013,S10,S7,948,989,15:48,16:29,44.9,20
T116,S11,S6,955,1021,15:55,17:01,66.5,20
T040,S4,S6,977,1036,16:17,17:16,45.8,20
T118,S4,S10,978,1038,16:18,17:18,59.6,20
T110,S5,S8,983,1065,16:23,17:45,65.0,15
T017,S8,S11,990,1061,16:30,17:41,64.7,20
T061,S2,S11,998,1032,16:38,17:12,32.3,15
T075,S9,S1,1011,1070,16:51,17:50,49.5,20
T073,S3,S10,1015,1091,16:55,18:11,76.0,20
T033,S11,S10,1029,1087,17:09,18:07,44.6,10
T117,S9,S2,1033,1080,17:13,18:00,43.8,20
