trip_id,origin_station,destination_station,departure_min,arrival_min,departure_time,arrival_time,distance_km,min_turnaround_min
T039,S5,S7,260,298,04:20,04:58,35.5,20
T018,S8,S4,265,345,04:25,05:45,84.9,30
T047,S7,S1,317,386,05:17,06:26,63.7,15
T016,S7,S2,346,412,05:46,06:52,69.1,20
T060,S1,S8,364,476,06:04,07:56,95.2,10
T051,S2,S5,375,466,06:15,07:46,88.2,20
T027,S1,S6,382,445,06:22,07:25,72.3,15
T032,S8,S3,394,425,06:34,07:05,33.4,15
T010,S8,S2,405,455,06:45,07:35,60.1,20
T025,S5,S4,408,432,06:48,07:12,19.8,30
T049,S3,S8,408,449,06:48,07:29,33.4,30
T050,S5,S7,422,460,07:02,07:40,35.5,15
T014,S2,S8,451,513,07:31,08:33,60.1,10
T048,S3,S5,464,557,07:44,09:17,76.4,30
T052,S6,S1,467,529,07:47,08:49,72.3,10
T012,S8,S6,477,509,07:57,08:29,29.8,30
T021,S1,S8,521,633,08:41,10:33,95.2,10
T045,S2,S4,529,598,08:49,09:58,70.3,15
T057,S2,S7,531,591,08:51,09:51,69.1,20
T040,S1,S3,533,590,08:53,09:50,63.6,30
T026,S2,S1,566,635,09:26,10:35,53.5,10
T024,S1,S7,568,641,09:28,10:41,63.7,15
T007,S6,S5,569,643,09:29,10:43,63.0,10
T058,S8,S4,570,650,09:30,10:50,84.9,10
T004,S7,S4,572,607,09:32,10:07,33.9,10
T006,S1,S3,609,666,10:09,11:06,63.6,10
T003,S6,S3,627,654,10:27,10:54,26.5,20
T043,S4,S3,677,736,11:17,12:16,62.8,30
T019,S6,S3,677,704,11:17,11:44,26.5,30
T020,S1,S6,684,747,11:24,12:27,72.3,15
T038,S7,S6,745,774,12:25,12:54,28.6,15
T015,S1,S4,749,789,12:29,13:09,38.6,30
T001,S2,S4,814,883,13:34,14:43,70.3,15
T056,S5,S6,816,881,13:36,14:41,63.0,10
T034,S3,S8,824,865,13:44,14:25,33.4,10
T013,S5,S3,842,930,14:02,15:30,76.4,30
T059,S1,S3,852,909,14:12,15:09,63.6,30
T041,S2,S4,861,930,14:21,15:30,70.3,30
T002,S7,S2,874,940,14:34,15:40,69.1,15
T053,S1,S6,931,994,15:31,16:34,72.3,20
T037,S8,S1,937,1024,15:37,17:04,95.2,10
T023,S2,S6,941,990,15:41,16:30,54.4,20
T035,S8,S5,981,1086,16:21,18:06,92.8,30
T036,S6,S1,1116,1178,18:36,19:38,72.3,15
T042,S5,S8,1121,1202,18:41,20:02,92.8,20
T028,S4,S8,1136,1204,18:56,20:04,84.9,20
T029,S3,S2,1180,1213,19:40,20:13,29.2,10
T030,S6,S1,1206,1268,20:06,21:08,72.3,10
T054,S7,S5,1209,1241,20:09,20:41,35.5,15
T011,S3,S4,1210,1274,20:10,21:14,62.8,15
T046,S2,S8,1223,1285,20:23,21:25,60.1,30
T055,S7,S5,1263,1295,21:03,21:35,35.5,30
T022,S1,S8,1283,1395,21:23,23:15,95.2,10
T017,S8,S6,1285,1317,21:25,21:57,29.8,10
T005,S7,S3,1288,1327,21:28,22:07,48.2,20
T009,S3,S1,1311,1369,21:51,22:49,63.6,30
T031,S4,S1,1325,1371,22:05,22:51,38.6,10
T008,S5,S6,1338,1403,22:18,23:23,63.0,30
T033,S6,S4,1358,1418,22:38,23:38,55.8,20
T044,S3,S1,1366,1424,22:46,23:44,63.6,30
