generation,best_cost,avg_cost
0,16706.2,23723.1
1,16249.4,24403.4
2,16249.4,24514.9
3,16249.4,24702.6
4,15924.3,24091.1
5,15924.3,23580.4
6,15924.3,23825.8
7,15924.3,24400.6
8,15924.3,24058.9
9,15924.3,24399.6
10,15924.3,24198.4
11,15924.3,24361.9
12,15924.3,24137.8
13,15924.3,24091.8
14,15924.3,23399.6
15,15924.3,23330.9
16,15924.3,23531.7
17,14107.8,23154.5
18,13963.2,22667.3
19,13145.2,21505.8
20,13030.0,21646.5
21,13030.0,21372.7
22,12117.1,21152.8
23,12117.1,21888.2
24,12117.1,21035.2
25,12117.1,20992.0
26,12117.1,21442.9
27,12117.1,22080.6
28,12117.1,22237.8
29,12117.1,22018.6
30,12117.1,21470.6
31,12117.1,21478.2
32,12117.1,21579.3
33,12117.1,21666.9
34,10386.1,20838.0
35,10386.1,21013.1
36,10386.1,21011.2
37,10386.1,20661.3
38,10386.1,20295.9
39,10386.1,20536.7
40,10386.1,20144.7
41,10386.1,20493.3
42,10386.1,21180.6
43,10386.1,20806.2
44,10386.1,20410.5
45,10386.1,20115.1
46,10386.1,20043.3
47,10386.1,19728.0
48,10386.1,20043.5
49,10386.1,20672.0
50,10386.1,20740.3
51,10386.1,21364.6
52,10386.1,21470.4
53,10386.1,21555.3
54,9452.6,20388.9
55,9452.6,20078.5
56,9452.6,20497.6
57,9452.6,20528.1
58,9452.6,20415.3
59,9452.6,21331.8
60,9452.6,22062.0
61,9452.6,21897.5
62,9452.6,21596.9
63,9452.6,21587.8
64,9452.6,20672.3
65,9452.6,21171.4
66,9452.6,20443.8
67,9452.6,20019.5
68,9452.6,20537.5
69,9452.6,20566.9
70,9452.6,19836.0
71,9452.6,20065.2
72,9452.6,20090.9
73,9452.6,20261.0
74,9452.6,20472.1
75,9452.6,19604.0
76,9452.6,19194.4
77,9452.6,19074.9
78,9452.6,18779.4
79,9452.6,19492.1
80,9452.6,19015.6
81,9452.6,19108.2
82,9452.6,19678.0
83,9452.6,19216.2
84,9452.6,19548.3
85,9452.6,18828.4
86,9452.6,18619.0
87,9452.6,18608.2
88,9452.6,19137.8
89,9452.6,19074.7
90,9452.6,19650.1
91,9452.6,20051.9
92,9452.6,19388.5
93,9452.6,19606.5
94,9452.6,19764.8
95,9452.6,20789.5
96,9452.6,21049.2
97,9452.6,20836.3
98,9452.6,20031.5
99,9452.6,20240.1
100,9452.6,19277.6
101,9452.6,19664.1
102,9452.6,20008.6
103,9452.6,19913.3
104,9452.6,19691.2
