generation,best_f1,best_f2,best_f3,n_pareto
1,2269.8,21,1475.0,9
2,2269.8,20,1375.0,18
3,2197.1,20,1375.0,25
4,2197.1,20,1375.0,28
5,2119.3,20,1275.0,19
6,2119.3,20,1175.0,18
7,2119.3,20,1175.0,24
8,2085.8,20,1143.0,22
9,2085.8,20,1101.0,23
10,2070.0,20,1101.0,20
11,2070.0,20,1101.0,30
12,2070.0,20,1101.0,32
13,2070.0,20,1075.0,26
14,2070.0,20,1075.0,37
15,2070.0,20,1001.0,33
16,2070.0,20,1001.0,31
17,1892.8,20,1001.0,44
18,1892.8,20,1001.0,41
19,1874.0,20,1001.0,55
20,1867.7,20,1001.0,60
21,1843.2,20,1001.0,48
22,1843.2,20,1001.0,58
23,1843.2,20,1001.0,60
24,1843.2,20,1001.0,60
25,1843.2,20,1001.0,52
26,1843.2,20,1001.0,57
27,1843.2,20,1001.0,60
28,1843.2,20,1001.0,60
29,1803.3,20,1001.0,52
30,1803.3,20,1001.0,47
31,1776.8,20,1001.0,37
32,1768.7,20,1001.0,55
33,1768.7,20,982.0,60
34,1768.7,20,982.0,51
35,1768.7,20,975.0,48
36,1695.8,20,901.0,60
37,1695.8,20,901.0,60
38,1695.8,20,901.0,60
39,1695.8,20,901.0,60
40,1695.8,20,882.0,60
41,1695.8,20,882.0,60
42,1695.8,20,882.0,60
43,1695.8,20,882.0,60
44,1662.4,20,882.0,60
45,1655.5,20,882.0,54
46,1655.5,20,882.0,48
47,1655.5,20,882.0,56
48,1655.5,20,882.0,46
49,1655.5,20,882.0,35
50,1655.5,20,882.0,54
51,1655.5,20,882.0,60
52,1655.5,20,882.0,60
53,1655.5,20,882.0,60
54,1655.5,20,882.0,60
55,1655.5,20,882.0,60
56,1655.5,20,882.0,60
57,1655.5,20,882.0,60
58,1655.5,20,882.0,60
59,1655.5,20,782.0,60
60,1655.5,20,782.0,60
61,1655.5,20,782.0,60
62,1655.5,20,782.0,60
63,1655.5,20,782.0,60
64,1655.5,20,782.0,60
65,1655.5,19,782.0,60
66,1655.5,19,782.0,60
67,1616.7,19,782.0,60
68,1616.7,19,782.0,60
69,1616.7,19,701.0,60
70,1616.7,19,701.0,60
71,1595.9,18,701.0,60
72,1595.9,18,701.0,60
73,1595.9,18,701.0,60
74,1595.9,18,701.0,60
75,1595.9,18,701.0,60
76,1595.9,18,701.0,59
77,1595.9,18,701.0,60
78,1595.9,18,701.0,60
79,1595.9,18,701.0,60
80,1595.9,18,701.0,60
81,1595.9,18,701.0,60
82,1595.9,18,701.0,60
83,1588.4,18,701.0,60
84,1588.4,18,701.0,60
85,1588.4,18,701.0,60
86,1588.4,18,701.0,60
87,1588.4,18,701.0,60
88,1588.4,18,701.0,60
89,1588.4,18,701.0,60
90,1588.4,18,701.0,60
91,1588.4,18,701.0,60
92,1588.4,18,701.0,60
93,1588.4,18,701.0,60
94,1588.4,18,701.0,60
95,1588.4,18,701.0,60
96,1588.4,18,701.0,60
97,1569.3,18,701.0,60
98,1569.3,18,701.0,60
99,1569.3,18,701.0,60
100,1569.3,18,701.0,60
101,1569.3,18,701.0,60
102,1569.3,18,701.0,60
103,1569.3,18,701.0,60
