deadhead_km,units_used,demand_penalty,rank,generation
1472.1,21,1133.0,0,200
2077.9,14,1870.0,0,200
1813.0,21,733.0,0,200
1529.0,24,733.0,0,200
1884.8,15,1934.0,0,200
2292.4,14,1819.0,0,200
2131.0,15,1670.0,0,200
1639.5,19,1233.0,0,200
1998.6,15,1870.0,0,200
1674.6,16,1734.0,0,200
1538.3,22,933.0,0,200
1734.4,18,1033.0,0,200
1639.5,19,1233.0,0,200
1734.4,18,1033.0,0,200
1835.8,16,1534.0,0,200
1590.9,23,733.0,0,200
1884.8,15,1934.0,0,200
1731.6,16,1634.0,0,200
1998.6,15,1870.0,0,200
1529.0,24,733.0,0,200
1571.0,21,833.0,0,200
1472.1,21,1133.0,0,200
1747.7,17,1133.0,0,200
1504.9,23,833.0,0,200
1538.3,22,933.0,0,200
1747.7,17,1133.0,0,200
1668.0,20,833.0,0,200
1863.5,17,933.0,0,200
1530.9,20,1133.0,0,200
1590.9,23,733.0,0,200
1871.9,16,1334.0,0,200
1835.8,16,1534.0,0,200
2131.0,15,1670.0,0,200
1863.6,16,1434.0,0,200
1766.7,19,814.0,0,200
2044.7,15,1770.0,0,200
1607.0,18,1333.0,0,200
1863.6,16,1434.0,0,200
2044.7,15,1770.0,0,200
1766.7,19,814.0,0,200
2077.9,14,1870.0,0,200
1674.6,16,1734.0,0,200
1504.9,23,833.0,0,200
1607.0,18,1333.0,0,200
1731.6,16,1634.0,0,200
1833.3,18,833.0,0,200
1668.0,20,833.0,0,200
1646.6,21,814.0,0,200
1742.2,19,833.0,0,200
1813.0,21,733.0,0,200
1571.0,21,833.0,0,200
1550.8,22,833.0,0,200
1590.8,20,1033.0,0,200
1605.1,19,1333.0,0,200
1847.9,19,733.0,0,200
1550.8,22,833.0,0,200
1847.9,19,733.0,0,200
1871.9,16,1334.0,0,200
1530.9,20,1133.0,0,200
1645.8,18,1233.0,0,200
