unit_id,trip_id,origin,destination,departure_time,arrival_time
U001,T012,S8,S6,07:57,08:29
U001,T007,S6,S5,09:29,10:43
U001,T056,S5,S6,13:36,14:41
U001,T005,S7,S3,21:28,22:07
U001,T044,S3,S1,22:46,23:44
U002,T047,S7,S1,05:17,06:26
U002,T040,S1,S3,08:53,09:50
U002,T001,S2,S4,13:34,14:43
U003,T047,S7,S1,05:17,06:26
U003,T021,S1,S8,08:41,10:33
U003,T035,S8,S5,16:21,18:06
U003,T042,S5,S8,18:41,20:02
U003,T017,S8,S6,21:25,21:57
U003,T033,S6,S4,22:38,23:38
U005,T032,S8,S3,06:34,07:05
U005,T026,S2,S1,09:26,10:35
U005,T015,S1,S4,12:29,13:09
U005,T053,S1,S6,15:31,16:34
U005,T036,S6,S1,18:36,19:38
U005,T022,S1,S8,21:23,23:15
U007,T048,S3,S5,07:44,09:17
U007,T056,S5,S6,13:36,14:41
U007,T054,S7,S5,20:09,20:41
U007,T008,S5,S6,22:18,23:23
U009,T018,S8,S4,04:25,05:45
U009,T025,S5,S4,06:48,07:12
U009,T006,S1,S3,10:09,11:06
U009,T009,S3,S1,21:51,22:49
U010,T049,S3,S8,06:48,07:29
U010,T045,S2,S4,08:49,09:58
U011,T051,S2,S5,06:15,07:46
U011,T006,S1,S3,10:09,11:06
U011,T041,S2,S4,14:21,15:30
U012,T027,S1,S6,06:22,07:25
U012,T052,S6,S1,07:47,08:49
U012,T024,S1,S7,09:28,10:41
U012,T055,S7,S5,21:03,21:35
U013,T060,S1,S8,06:04,07:56
U013,T004,S7,S4,09:32,10:07
U013,T028,S4,S8,18:56,20:04
U014,T027,S1,S6,06:22,07:25
U014,T004,S7,S4,09:32,10:07
U014,T028,S4,S8,18:56,20:04
U015,T010,S8,S2,06:45,07:35
U015,T026,S2,S1,09:26,10:35
U015,T059,S1,S3,14:12,15:09
U015,T011,S3,S4,20:10,21:14
U015,T031,S4,S1,22:05,22:51
U016,T010,S8,S2,06:45,07:35
U016,T026,S2,S1,09:26,10:35
U016,T020,S1,S6,11:24,12:27
U016,T036,S6,S1,18:36,19:38
U018,T050,S5,S7,07:02,07:40
U018,T004,S7,S4,09:32,10:07
U020,T039,S5,S7,04:20,04:58
U020,T016,S7,S2,05:46,06:52
U020,T045,S2,S4,08:49,09:58
U020,T043,S4,S3,11:17,12:16
U020,T034,S3,S8,13:44,14:25
U020,T037,S8,S1,15:37,17:04
U021,T057,S2,S7,08:51,09:51
U021,T038,S7,S6,12:25,12:54
U021,T002,S7,S2,14:34,15:40
U022,T018,S8,S4,04:25,05:45
U022,T050,S5,S7,07:02,07:40
U022,T003,S6,S3,10:27,10:54
U022,T023,S2,S6,15:41,16:30
U022,T030,S6,S1,20:06,21:08
U023,T040,S1,S3,08:53,09:50
U023,T019,S6,S3,11:17,11:44
U023,T011,S3,S4,20:10,21:14
U024,T016,S7,S2,05:46,06:52
U024,T014,S2,S8,07:31,08:33
U024,T058,S8,S4,09:30,10:50
U024,T013,S5,S3,14:02,15:30
U024,T029,S3,S2,19:40,20:13
U024,T046,S2,S8,20:23,21:25
