step,temp,current_cost,best_cost,total_cost
40,500.0,8177.8,5746.5,5746.5
80,497.5,8190.1,5746.5,5746.5
120,495.01,9250.6,5746.5,5746.5
160,492.54,11108.0,5746.5,5746.5
200,490.07,12582.0,5746.5,5746.5
240,487.62,15382.3,5746.5,5746.5
280,485.19,14199.0,5746.5,5746.5
320,482.76,14357.3,5746.5,5746.5
360,480.35,14363.5,5746.5,5746.5
400,477.94,14061.4,5746.5,5746.5
440,475.56,16391.8,5746.5,5746.5
480,473.18,15820.8,5746.5,5746.5
520,470.81,13585.3,5746.5,5746.5
560,468.46,14862.3,5746.5,5746.5
600,466.12,14533.3,5746.5,5746.5
640,463.78,14388.0,5746.5,5746.5
680,461.47,15494.6,5746.5,5746.5
720,459.16,14761.7,5746.5,5746.5
760,456.86,11822.3,5746.5,5746.5
800,454.58,14139.4,5746.5,5746.5
840,452.31,13789.8,5746.5,5746.5
880,450.04,14239.8,5746.5,5746.5
920,447.79,13325.1,5746.5,5746.5
960,445.55,13345.7,5746.5,5746.5
1000,443.33,14440.5,5746.5,5746.5
1040,441.11,18381.3,5746.5,5746.5
1080,438.9,18460.7,5746.5,5746.5
1120,436.71,18892.3,5746.5,5746.5
1160,434.53,16722.8,5746.5,5746.5
1200,432.35,14066.6,5746.5,5746.5
1240,430.19,15740.7,5746.5,5746.5
1280,428.04,16611.6,5746.5,5746.5
1320,425.9,15726.5,5746.5,5746.5
1360,423.77,10814.7,5746.5,5746.5
1400,421.65,11087.7,5746.5,5746.5
1440,419.54,13122.7,5746.5,5746.5
1480,417.45,14490.7,5746.5,5746.5
1520,415.36,14837.8,5746.5,5746.5
1560,413.28,13357.2,5746.5,5746.5
1600,411.22,13070.9,5746.5,5746.5
1640,409.16,13560.7,5746.5,5746.5
1680,407.11,13055.4,5746.5,5746.5
1720,405.08,12812.0,5746.5,5746.5
1760,403.05,14937.7,5746.5,5746.5
1800,401.04,15163.8,5746.5,5746.5
1840,399.03,16445.7,5746.5,5746.5
1880,397.04,16852.2,5746.5,5746.5
1920,395.05,15917.7,5746.5,5746.5
1960,393.08,14679.7,5746.5,5746.5
2000,391.11,16114.3,5746.5,5746.5
2040,389.16,17854.3,5746.5,5746.5
2080,387.21,13825.1,5746.5,5746.5
2120,385.27,14869.2,5746.5,5746.5
2160,383.35,14517.2,5746.5,5746.5
2200,381.43,16496.4,5746.5,5746.5
2240,379.52,17368.3,5746.5,5746.5
2280,377.63,17039.5,5746.5,5746.5
2320,375.74,16028.3,5746.5,5746.5
2360,373.86,14864.8,5746.5,5746.5
2400,371.99,14745.6,5746.5,5746.5
2440,370.13,13176.9,5746.5,5746.5
2480,368.28,11027.6,5746.5,5746.5
2520,366.44,12217.9,5746.5,5746.5
2560,364.61,14004.9,5746.5,5746.5
2600,362.78,15049.4,5746.5,5746.5
2640,360.97,15540.8,5746.5,5746.5
2680,359.16,15632.0,5746.5,5746.5
2720,357.37,15522.0,5746.5,5746.5
2760,355.58,15447.9,5746.5,5746.5
2800,353.8,15633.5,5746.5,5746.5
2840,352.03,12963.6,5746.5,5746.5
2880,350.27,11598.3,5746.5,5746.5
2920,348.52,11039.3,5746.5,5746.5
2960,346.78,12378.5,5746.5,5746.5
3000,345.05,11807.0,5746.5,5746.5
3040,343.32,12396.2,5746.5,5746.5
3080,341.6,12684.2,5746.5,5746.5
3120,339.9,12820.2,5746.5,5746.5
3160,338.2,13239.2,5746.5,5746.5
3200,336.51,12557.2,5746.5,5746.5
3240,334.82,12182.6,5746.5,5746.5
3280,333.15,11460.9,5746.5,5746.5
3320,331.48,11412.7,5746.5,5746.5
3360,329.83,11678.4,5746.5,5746.5
3400,328.18,11728.6,5746.5,5746.5
3440,326.54,11696.1,5746.5,5746.5
3480,324.9,11156.5,5746.5,5746.5
3520,323.28,11045.1,5746.5,5746.5
3560,321.66,11168.6,5746.5,5746.5
3600,320.05,10301.4,5746.5,5746.5
3640,318.45,11091.0,5746.5,5746.5
3680,316.86,11420.1,5746.5,5746.5
3720,315.28,11601.9,5746.5,5746.5
3760,313.7,10853.6,5746.5,5746.5
3800,312.13,12038.1,5746.5,5746.5
3840,310.57,11954.6,5746.5,5746.5
3880,309.02,11605.3,5746.5,5746.5
3920,307.47,10133.4,5746.5,5746.5
3960,305.94,11213.6,5746.5,5746.5
4000,304.41,12229.5,5746.5,5746.5
4040,302.89,13378.2,5746.5,5746.5
