unit_id,trip_id,origin,destination,departure_time,arrival_time
U001,T018,S8,S4,04:25,05:45
U001,T050,S5,S7,07:02,07:40
U001,T026,S2,S1,09:26,10:35
U001,T020,S1,S6,11:24,12:27
U001,T030,S6,S1,20:06,21:08
U001,T022,S1,S8,21:23,23:15
U003,T060,S1,S8,06:04,07:56
U003,T006,S1,S3,10:09,11:06
U003,T029,S3,S2,19:40,20:13
U004,T032,S8,S3,06:34,07:05
U004,T040,S1,S3,08:53,09:50
U004,T019,S6,S3,11:17,11:44
U004,T034,S3,S8,13:44,14:25
U004,T037,S8,S1,15:37,17:04
U005,T039,S5,S7,04:20,04:58
U005,T016,S7,S2,05:46,06:52
U005,T014,S2,S8,07:31,08:33
U005,T058,S8,S4,09:30,10:50
U005,T059,S1,S3,14:12,15:09
U005,T011,S3,S4,20:10,21:14
U006,T047,S7,S1,05:17,06:26
U006,T040,S1,S3,08:53,09:50
U006,T023,S2,S6,15:41,16:30
U006,T055,S7,S5,21:03,21:35
U007,T048,S3,S5,07:44,09:17
U007,T013,S5,S3,14:02,15:30
U008,T010,S8,S2,06:45,07:35
U008,T045,S2,S4,08:49,09:58
U009,T010,S8,S2,06:45,07:35
U009,T026,S2,S1,09:26,10:35
U009,T053,S1,S6,15:31,16:34
U009,T036,S6,S1,18:36,19:38
U010,T051,S2,S5,06:15,07:46
U010,T004,S7,S4,09:32,10:07
U010,T031,S4,S1,22:05,22:51
U012,T021,S1,S8,08:41,10:33
U012,T035,S8,S5,16:21,18:06
U012,T054,S7,S5,20:09,20:41
U012,T008,S5,S6,22:18,23:23
U013,T027,S1,S6,06:22,07:25
U013,T007,S6,S5,09:29,10:43
U013,T056,S5,S6,13:36,14:41
U013,T036,S6,S1,18:36,19:38
U017,T049,S3,S8,06:48,07:29
U017,T007,S6,S5,09:29,10:43
U017,T013,S5,S3,14:02,15:30
U017,T009,S3,S1,21:51,22:49
U018,T025,S5,S4,06:48,07:12
U018,T004,S7,S4,09:32,10:07
U018,T043,S4,S3,11:17,12:16
U018,T011,S3,S4,20:10,21:14
U019,T016,S7,S2,05:46,06:52
U019,T014,S2,S8,07:31,08:33
U019,T058,S8,S4,09:30,10:50
U019,T043,S4,S3,11:17,12:16
U019,T001,S2,S4,13:34,14:43
U020,T057,S2,S7,08:51,09:51
U020,T005,S7,S3,21:28,22:07
U020,T044,S3,S1,22:46,23:44
U021,T027,S1,S6,06:22,07:25
U021,T045,S2,S4,08:49,09:58
U021,T015,S1,S4,12:29,13:09
U021,T028,S4,S8,18:56,20:04
U022,T012,S8,S6,07:57,08:29
U022,T003,S6,S3,10:27,10:54
U022,T041,S2,S4,14:21,15:30
U022,T042,S5,S8,18:41,20:02
U022,T017,S8,S6,21:25,21:57
U022,T033,S6,S4,22:38,23:38
U023,T050,S5,S7,07:02,07:40
U023,T004,S7,S4,09:32,10:07
U023,T043,S4,S3,11:17,12:16
U023,T009,S3,S1,21:51,22:49
U024,T052,S6,S1,07:47,08:49
U024,T024,S1,S7,09:28,10:41
U024,T038,S7,S6,12:25,12:54
U024,T002,S7,S2,14:34,15:40
U024,T046,S2,S8,20:23,21:25
