step,temp,current_cost,best_cost
40,500.0,20062.3,18651.0
80,497.5,21781.0,18651.0
120,495.01,24164.0,18651.0
160,492.54,21589.6,18651.0
200,490.07,20845.8,18651.0
240,487.62,21772.7,18651.0
280,485.19,17346.2,16275.5
320,482.76,20075.3,16275.5
360,480.35,22427.0,16275.5
400,477.94,22624.0,16275.5
440,475.56,25754.8,16275.5
480,473.18,28795.7,16275.5
520,470.81,28821.8,16275.5
560,468.46,25752.9,16275.5
600,466.12,28090.6,16275.5
640,463.78,22270.7,16275.5
680,461.47,24207.0,16275.5
720,459.16,22510.0,16275.5
760,456.86,20251.4,16275.5
800,454.58,19223.0,16275.5
840,452.31,19321.1,16275.5
880,450.04,22236.6,16275.5
920,447.79,23374.9,16275.5
960,445.55,23377.4,16275.5
1000,443.33,24202.4,16275.5
1040,441.11,21636.2,16275.5
1080,438.9,21024.0,16275.5
1120,436.71,21591.2,16275.5
1160,434.53,21737.4,16275.5
1200,432.35,22799.3,16275.5
1240,430.19,21757.3,16275.5
1280,428.04,20747.0,16275.5
1320,425.9,21973.4,16275.5
1360,423.77,20893.5,16275.5
1400,421.65,23305.3,16275.5
1440,419.54,22150.2,16275.5
1480,417.45,24454.6,16275.5
1520,415.36,24906.2,16275.5
1560,413.28,24204.0,16275.5
1600,411.22,25493.7,16275.5
1640,409.16,20927.3,16275.5
1680,407.11,20835.5,16275.5
1720,405.08,21368.3,16275.5
1760,403.05,20487.4,16275.5
1800,401.04,20167.7,16275.5
1840,399.03,20048.5,16275.5
1880,397.04,21216.9,16275.5
1920,395.05,19425.5,16275.5
1960,393.08,19818.0,16275.5
2000,391.11,19540.8,16275.5
2040,389.16,17791.8,16275.5
2080,387.21,20070.9,16275.5
2120,385.27,23272.8,16275.5
2160,383.35,22602.6,16275.5
2200,381.43,21697.5,16275.5
2240,379.52,21525.5,16275.5
2280,377.63,25152.7,16275.5
2320,375.74,25580.5,16275.5
2360,373.86,22014.3,16275.5
2400,371.99,20899.1,16275.5
2440,370.13,18719.1,16275.5
2480,368.28,19112.7,16275.5
2520,366.44,17762.6,16275.5
2560,364.61,16414.7,15933.9
2600,362.78,15778.1,15412.1
2640,360.97,14767.1,14631.3
2680,359.16,14794.9,14586.3
2720,357.37,14547.0,14547.0
2760,355.58,16282.7,14547.0
2800,353.8,17212.9,14547.0
2840,352.03,16306.6,14547.0
2880,350.27,15385.4,14547.0
2920,348.52,18207.2,14547.0
2960,346.78,18952.0,14547.0
3000,345.05,16739.4,14547.0
3040,343.32,15646.4,14547.0
3080,341.6,16373.3,14547.0
3120,339.9,15256.9,14547.0
3160,338.2,14242.8,14130.9
3200,336.51,15831.4,14130.9
3240,334.82,18235.9,14130.9
3280,333.15,18236.2,14130.9
3320,331.48,16843.4,14130.9
3360,329.83,15832.3,14130.9
3400,328.18,15877.9,14130.9
3440,326.54,15518.1,14130.9
3480,324.9,14554.2,14130.9
3520,323.28,14442.0,14130.9
3560,321.66,14536.2,14130.9
3600,320.05,14350.9,14130.9
3640,318.45,15338.5,14130.9
3680,316.86,16419.7,14130.9
3720,315.28,15618.4,14130.9
3760,313.7,15447.1,14130.9
3800,312.13,16455.5,14130.9
3840,310.57,15756.1,14130.9
3880,309.02,16353.2,14130.9
3920,307.47,16720.6,14130.9
3960,305.94,14391.6,14130.9
4000,304.41,15106.7,14092.0
4040,302.89,16873.5,14092.0
4080,301.37,17917.6,14092.0
4120,299.86,18788.4,14092.0
4160,298.36,18735.7,14092.0
4200,296.87,17922.4,14092.0
4240,295.39,17102.3,14092.0
4280,293.91,14828.9,14092.0
4320,292.44,16412.9,14092.0
4360,290.98,15577.1,14092.0
4400,289.52,15947.8,14092.0
4440,288.08,16795.5,14092.0
4480,286.64,16697.7,14092.0
4520,285.2,16099.2,14092.0
4560,283.78,16369.1,14092.0
4600,282.36,15725.8,14092.0
4640,280.95,15128.9,14092.0
4680,279.54,15234.8,14092.0
4720,278.14,15127.8,14092.0
4760,276.75,16617.2,14092.0
4800,275.37,14496.7,14092.0
4840,273.99,14029.2,13966.2
4880,272.62,14450.8,13845.5
4920,271.26,14925.5,13845.5
4960,269.9,16447.5,13845.5
5000,268.55,18068.6,13845.5
5040,267.21,15532.4,13845.5
5080,265.88,16084.3,13845.5
5120,264.55,17142.8,13845.5
5160,263.22,18035.4,13845.5
5200,261.91,17426.7,13845.5
5240,260.6,17013.2,13845.5
5280,259.29,17140.5,13845.5
5320,258.0,16544.0,13845.5
5360,256.71,15259.4,13845.5
5400,255.42,16150.0,13845.5
5440,254.15,14401.5,13845.5
5480,252.88,13522.7,13522.7
5520,251.61,15933.4,13451.2
5560,250.35,15647.5,13451.2
5600,249.1,17398.7,13451.2
5640,247.86,15693.4,13451.2
5680,246.62,15778.3,13451.2
5720,245.38,16627.5,13451.2
5760,244.16,16263.9,13451.2
5800,242.94,17615.4,13451.2
5840,241.72,17485.3,13451.2
5880,240.51,16894.4,13451.2
5920,239.31,14747.4,13451.2
5960,238.11,14679.1,13451.2
6000,236.92,15531.2,13451.2
6040,235.74,14160.2,13451.2
6080,234.56,13147.0,13120.5
6120,233.39,13042.8,12978.5
6160,232.22,13117.6,12961.3
6200,231.06,13435.2,12961.3
6240,229.9,13220.4,12961.3
6280,228.76,12068.6,12068.6
6320,227.61,12036.3,12036.3
6360,226.47,12004.1,12004.1
6400,225.34,11907.8,11814.8
6440,224.21,11882.2,11814.8
6480,223.09,12751.6,11627.8
6520,221.98,12772.2,11627.8
6560,220.87,13097.1,11627.8
6600,219.76,11996.9,11627.8
6640,218.66,11579.0,11556.3
6680,217.57,11730.7,11515.4
6720,216.48,11924.6,11515.4
6760,215.4,13429.4,11515.4
6800,214.32,12785.2,11515.4
6840,213.25,11470.4,11470.4
6880,212.19,12515.2,11470.4
6920,211.13,12347.1,11470.4
6960,210.07,12195.9,11470.4
7000,209.02,12124.4,11470.4
7040,207.97,11202.4,11202.4
7080,206.93,9661.6,9661.6
7120,205.9,9615.0,9615.0
7160,204.87,9825.5,9615.0
7200,203.85,9314.4,9161.4
7240,202.83,9496.5,9161.4
7280,201.81,9288.2,9161.4
7320,200.8,9049.3,8875.7
7360,199.8,9693.1,8875.7
7400,198.8,9879.8,8875.7
7440,197.81,10319.7,8875.7
7480,196.82,10403.3,8875.7
7520,195.83,10565.4,8875.7
7560,194.85,11162.7,8875.7
7600,193.88,11343.5,8875.7
7640,192.91,11911.5,8875.7
7680,191.95,11273.0,8875.7
7720,190.99,11452.1,8875.7
7760,190.03,11016.6,8875.7
7800,189.08,11167.3,8875.7
7840,188.14,10376.1,8875.7
7880,187.19,9869.7,8875.7
7920,186.26,9852.5,8875.7
7960,185.33,10161.1,8875.7
8000,184.4,10041.6,8875.7
8040,183.48,9857.4,8875.7
8080,182.56,9604.4,8875.7
8120,181.65,9757.8,8875.7
8160,180.74,10035.0,8875.7
8200,179.84,9747.5,8875.7
8240,178.94,9624.4,8875.7
8280,178.04,9421.7,8875.7
8320,177.15,9505.5,8875.7
8360,176.27,10499.4,8875.7
8400,175.39,9928.4,8875.7
8440,174.51,9983.0,8875.7
8480,173.64,9936.4,8875.7
8520,172.77,10208.5,8875.7
8560,171.9,10437.6,8875.7
8600,171.04,10269.9,8875.7
8640,170.19,10729.9,8875.7
8680,169.34,10837.2,8875.7
8720,168.49,10687.9,8875.7
8760,167.65,10084.7,8875.7
8800,166.81,10245.0,8875.7
8840,165.98,10029.7,8875.7
8880,165.15,9762.1,8875.7
8920,164.32,9658.7,8875.7
8960,163.5,9818.7,8875.7
9000,162.68,9799.1,8875.7
9040,161.87,9574.0,8875.7
9080,161.06,9799.8,8875.7
9120,160.25,9756.1,8875.7
9160,159.45,9875.6,8875.7
9200,158.66,9589.0,8875.7
9240,157.86,9506.4,8875.7
9280,157.07,9437.7,8875.7
9320,156.29,9069.8,8875.7
9360,155.51,8134.1,7929.3
9400,154.73,7954.9,7920.8
9440,153.96,7737.2,7678.7
9480,153.19,8049.2,7673.6
9520,152.42,8186.9,7673.6
9560,151.66,8235.7,7673.6
9600,150.9,7962.6,7673.6
9640,150.14,7698.7,7673.6
9680,149.39,7694.1,7673.6
9720,148.65,7846.9,7673.6
9760,147.9,7719.3,7673.6
9800,147.16,7771.0,7673.6
9840,146.43,7766.8,7673.6
9880,145.7,8495.8,7673.6
9920,144.97,8449.1,7673.6
9960,144.24,8511.1,7673.6
10000,143.52,8667.3,7673.6
10040,142.8,8863.2,7673.6
10080,142.09,9145.7,7673.6
10120,141.38,9055.7,7673.6
10160,140.67,9403.2,7673.6
10200,139.97,9350.9,7673.6
10240,139.27,9658.6,7673.6
10280,138.57,9538.7,7673.6
10320,137.88,9638.1,7673.6
10360,137.19,9169.5,7673.6
10400,136.5,9276.2,7673.6
10440,135.82,9825.7,7673.6
10480,135.14,9405.6,7673.6
10520,134.47,9369.6,7673.6
10560,133.8,9696.5,7673.6
10600,133.13,9623.1,7673.6
10640,132.46,9396.5,7673.6
10680,131.8,9532.2,7673.6
10720,131.14,9589.2,7673.6
10760,130.48,9533.7,7673.6
10800,129.83,9389.7,7673.6
10840,129.18,9384.9,7673.6
10880,128.54,9356.2,7673.6
10920,127.89,9220.8,7673.6
10960,127.25,9693.8,7673.6
11000,126.62,9593.3,7673.6
11040,125.98,9431.6,7673.6
11080,125.35,9255.4,7673.6
11120,124.73,9038.4,7673.6
11160,124.1,9158.3,7673.6
11200,123.48,8984.8,7673.6
11240,122.87,8920.6,7673.6
11280,122.25,9085.1,7673.6
11320,121.64,9112.3,7673.6
11360,121.03,8994.4,7673.6
11400,120.43,8714.3,7673.6
11440,119.83,8220.1,7673.6
11480,119.23,8269.6,7673.6
11520,118.63,8189.3,7673.6
11560,118.04,8258.2,7673.6
11600,117.45,8656.5,7673.6
11640,116.86,8741.4,7673.6
11680,116.28,8747.1,7673.6
11720,115.69,8779.0,7673.6
11760,115.12,8898.9,7673.6
11800,114.54,8906.9,7673.6
11840,113.97,8875.2,7673.6
11880,113.4,8949.3,7673.6
11920,112.83,9095.5,7673.6
11960,112.27,9074.5,7673.6
12000,111.7,8872.4,7673.6
12040,111.15,8928.9,7673.6
12080,110.59,8851.8,7673.6
12120,110.04,8604.0,7673.6
12160,109.49,8784.8,7673.6
12200,108.94,8581.9,7673.6
12240,108.4,8498.1,7673.6
12280,107.85,8505.5,7673.6
12320,107.31,8551.6,7673.6
12360,106.78,8839.8,7673.6
12400,106.24,8807.2,7673.6
12440,105.71,8757.5,7673.6
12480,105.18,8895.2,7673.6
12520,104.66,9064.2,7673.6
12560,104.13,9108.6,7673.6
12600,103.61,9113.2,7673.6
12640,103.1,8899.0,7673.6
12680,102.58,8682.4,7673.6
12720,102.07,8754.5,7673.6
12760,101.56,8842.7,7673.6
12800,101.05,8805.4,7673.6
12840,100.54,8695.8,7673.6
12880,100.04,8503.3,7673.6
12920,99.54,8698.3,7673.6
12960,99.04,8520.9,7673.6
13000,98.55,8714.0,7673.6
13040,98.06,8804.3,7673.6
13080,97.57,8979.8,7673.6
13120,97.08,9055.3,7673.6
13160,96.59,9122.2,7673.6
13200,96.11,9259.5,7673.6
13240,95.63,9100.5,7673.6
13280,95.15,9117.5,7673.6
13320,94.67,8852.4,7673.6
13360,94.2,8801.2,7673.6
13400,93.73,8710.2,7673.6
13440,93.26,8240.3,7673.6
13480,92.8,8240.3,7673.6
13520,92.33,8204.4,7673.6
13560,91.87,8173.9,7673.6
13600,91.41,8084.5,7673.6
13640,90.95,8148.2,7673.6
13680,90.5,8073.2,7673.6
13720,90.05,7970.3,7673.6
13760,89.6,8057.8,7673.6
13800,89.15,7982.0,7673.6
13840,88.7,7949.9,7673.6
13880,88.26,8013.0,7673.6
13920,87.82,8089.1,7673.6
13960,87.38,8175.4,7673.6
14000,86.94,8184.8,7673.6
14040,86.51,8231.7,7673.6
14080,86.07,8193.5,7673.6
14120,85.64,8188.7,7673.6
14160,85.22,8023.5,7673.6
14200,84.79,8008.8,7673.6
14240,84.37,7946.4,7673.6
14280,83.94,7807.7,7673.6
14320,83.52,7813.6,7673.6
14360,83.11,7737.7,7641.2
14400,82.69,7741.1,7622.5
14440,82.28,7772.0,7622.5
14480,81.87,7752.2,7622.5
14520,81.46,7701.2,7622.5
14560,81.05,7649.5,7622.5
14600,80.64,7712.6,7622.5
14640,80.24,7884.4,7622.5
14680,79.84,7745.4,7622.5
14720,79.44,7786.5,7622.5
14760,79.04,7908.2,7622.5
14800,78.65,7960.0,7622.5
14840,78.25,8070.0,7622.5
14880,77.86,8056.9,7622.5
14920,77.47,8107.2,7622.5
14960,77.09,8104.6,7622.5
15000,76.7,8189.5,7622.5
15040,76.32,8153.1,7622.5
15080,75.94,8356.6,7622.5
15120,75.56,8339.2,7622.5
15160,75.18,8387.0,7622.5
15200,74.8,7976.4,7622.5
15240,74.43,7906.2,7622.5
15280,74.06,7963.7,7622.5
15320,73.69,7976.9,7622.5
15360,73.32,7799.5,7622.5
15400,72.95,7744.5,7622.5
15440,72.59,7703.3,7622.5
15480,72.22,7620.5,7620.5
15520,71.86,7577.3,7577.3
15560,71.5,7688.7,7577.3
15600,71.15,7616.6,7577.3
15640,70.79,7446.5,7416.9
15680,70.44,7350.6,7245.3
15720,70.08,7271.6,7217.3
15760,69.73,7271.5,7217.3
15800,69.38,7402.1,7217.3
15840,69.04,7480.7,7217.3
15880,68.69,7411.3,7217.3
15920,68.35,7570.3,7217.3
15960,68.01,7497.3,7217.3
16000,67.67,7455.6,7217.3
16040,67.33,7445.5,7217.3
16080,66.99,7371.5,7217.3
16120,66.66,7236.7,7217.3
16160,66.32,7260.5,7217.3
16200,65.99,7302.0,7217.3
16240,65.66,7295.5,7217.3
16280,65.33,7533.7,7217.3
16320,65.01,7369.9,7217.3
16360,64.68,7214.7,7214.7
16400,64.36,7221.1,7166.1
16440,64.04,7211.1,7166.1
16480,63.72,7260.6,7068.0
16520,63.4,7296.7,7068.0
16560,63.08,7271.1,7068.0
16600,62.77,7210.8,7068.0
16640,62.45,7231.8,7068.0
16680,62.14,7455.0,7068.0
16720,61.83,7062.3,7006.7
16760,61.52,7062.3,7006.7
16800,61.21,7218.8,7006.7
16840,60.91,7184.1,7006.7
16880,60.6,7081.0,7006.7
16920,60.3,6989.7,6939.3
16960,60.0,6946.1,6928.9
17000,59.7,7151.3,6928.9
